"Time Period","National Great Britain","National England and Wales","National Scotland","Sector London and South East","Sector Long Distance","Sector Regional and Scotland","Franchised Avanti West Coast","Franchised c2c","Franchised Caledonian Sleeper","Franchised Chiltern Railways","Franchised CrossCountry","Franchised East Midlands Railway","Franchised Elizabeth line","Franchised Govia Thameslink Railway","Franchised Great Western Railway","Franchised Greater Anglia","Franchised London North Eastern Railway","Franchised London Overground","Franchised Merseyrail","Franchised Northern Trains","Franchised ScotRail","Franchised South Western Railway","Franchised Southeastern","Franchised TfW Rail","Franchised TransPennine Express","Franchised West Midlands Trains","Non-Franchised Grand Central","Non-Franchised Heathrow Express","Non-Franchised Hull Trains","Non-Franchised Lumo"
"Apr 2023 to Mar 2024 (Period 01)","4.28","4.50","2.36","3.84","6.92","4.43","6.25","1.59","13.29","4.99","8.80","3.35","5.42","4.68","4.39","1.62","6.67","3.34","2.83","4.68","2.33","5.75","1.86","10.32","6.96","5.30","9.46","1.97","2.86","7.12"
"Apr 2023 to Mar 2024 (Period 02)","4.13","4.33","2.48","3.62","7.72","4.20","8.28","3.06","13.99","1.91","8.26","3.70","4.19","4.85","4.49","1.18","9.13","3.94","3.44","5.21","2.45","3.20","2.65","7.89","9.25","4.21","16.84","1.66","8.66","10.11"
"Apr 2023 to Mar 2024 (Period 03)","5.75","6.04","3.20","5.03","10.99","5.85","17.08","2.17","8.70","1.65","16.90","5.05","5.22","7.11","5.64","3.01","8.18","4.26","3.25","7.14","3.18","5.14","4.05","12.50","9.10","6.44","16.39","1.81","6.56","11.70"
"Apr 2023 to Mar 2024 (Period 04)","4.73","5.05","1.84","4.28","8.39","4.67","7.36","1.70","3.57","1.44","16.32","4.16","4.32","6.08","5.40","2.01","4.71","5.41","2.44","5.65","1.84","3.96","3.14","8.26","8.26","5.85","8.98","1.95","3.07","7.50"
"Apr 2023 to Mar 2024 (Period 05)","5.19","5.52","2.37","4.35","9.45","5.59","8.79","0.73","9.52","2.68","11.66","4.03","10.28","5.33","7.45","1.59","7.37","3.17","3.50","8.03","2.35","2.59","2.71","6.72","9.95","7.91","12.78","4.03","5.03","8.10"
"Apr 2023 to Mar 2024 (Period 06)","4.66","4.89","2.70","4.11","7.88","4.88","8.65","3.22","4.17","2.26","10.12","4.01","5.84","5.33","6.70","3.04","4.84","3.37","3.74","6.86","2.70","3.09","3.00","5.91","5.58","4.33","15.03","5.75","2.19","7.64"
"Apr 2023 to Mar 2024 (Period 07)","5.03","5.02","5.09","3.96","9.05","5.86","14.75","2.07","9.20","4.14","9.93","4.16","2.84","5.70","5.07","0.98","10.16","4.83","5.24","6.93","5.08","4.23","3.24","7.33","7.65","4.30","12.80","2.63","5.59","9.25"
"Apr 2023 to Mar 2024 (Period 08)","6.76","6.98","4.64","5.14","15.53","7.53","19.47","1.58","12.88","2.48","19.85","10.30","6.36","7.25","8.06","2.91","23.10","3.87","5.41","9.62","4.61","5.94","3.53","8.30","10.21","7.04","16.26","4.58","9.33","29.79"
"Apr 2023 to Mar 2024 (Period 09)","7.12","7.59","2.97","5.65","14.96","7.76","21.12","1.70","9.52","2.35","19.74","8.25","7.22","6.55","9.73","2.06","11.79","5.45","5.27","11.18","2.95","8.23","3.24","10.67","11.05","7.81","13.58","10.44","8.97","9.68"
"Apr 2023 to Mar 2024 (Period 10)","7.87","8.20","4.74","6.61","18.70","7.63","27.12","3.77","6.92","5.06","24.11","12.02","5.41","8.56","11.20","2.35","23.52","4.76","6.88","9.23","4.73","6.93","6.56","8.49","8.63","9.70","19.77","5.90","14.68","19.53"
